,Percent; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent; Estimate; Population 25 years and over - Bachelor's degree,Employment/Population Ratio; Estimate; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,Median income (dollars); Estimate; Households,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Some other race,Occupied housing units; Estimate; Occupied housing units,Owner-occupied housing units; Estimate; Occupied housing units,Renter-occupied housing units; Estimate; Occupied housing units,Percent below poverty level; Estimate; Population for whom poverty status is determined,Estimate; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population - Male,Percent; SEX AND AGE - Total population - Female,Estimate; SEX AND AGE - Median age (years),Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - Asian,Percent; RACE - One race - Some other race,UOF_Use of Physical Force,UOF_Use of Non-Lethal Weapon,UOF_Use of Lethal Weapon,UOF_Fatal Use of Weapon,Crime_Violent,Crime_Non-Violent,Crime_Non-Criminal,Race_Native American,Race_Asian,Race_Black,Race_Latinx,Race_Pacific Islander,Race_Not Listed,Race_White,Race_Bi-Racial,Gender_Male,Gender_Female,Gender_Not Listed,City
Downtown,62.61766164550952,82.11755190683213,163.1861830562129,21.29526933286619,160924.49037602948,172909.28090057528,79016.46627749785,94380.25306349946,135.7688033917631,7417.699918865043,1702.4216733790067,5715.278245486034,81.0783081464515,14495.845794968065,193.63400874311773,136.6190922229315,105.76897117077914,218.74166578683278,75.44292256754757,16.075693612194396,7.066045138732515,120.6,29.2,0.0,,,,,0.0,0.0,77.8,6.8,0.0,0.0,64.2,,136.8,20.2,0.2,Indianapolis
Excluded,551.8078274187411,341.13541569574437,1213.6845573978753,199.06201110284132,895292.347255278,971560.551236642,528015.4536061235,140334.44711328053,131164.16223444187,35786.959908012155,20170.276865912743,15616.683042099392,388.9395653924264,92640.21223284004,921.6771532626269,1001.3612467890313,661.694155413701,1332.0641294661086,431.51963481972956,28.905019180195833,72.45692289353569,,,,,,,,,,,,,,,,,,,
North,1216.509272675199,1508.466198915409,3577.713174058764,584.8122306610043,3007330.113229732,3289702.533476005,1833222.9594749585,1213316.9124598631,200172.84242282502,92441.0596957629,48631.39595516987,43809.663740593096,1018.721059290357,212049.85596796306,2710.609869446126,3006.925898100079,2144.1989349211244,3193.174186193448,2082.9225166821893,116.42015645758632,130.63501677258606,197.6,43.2,0.4,,,,,0.0,0.2,164.6,6.0,0.0,2.4,71.4,,201.8,55.0,0.4,Indianapolis
Northeast,1442.157912446568,552.1787999163906,2304.977382991002,673.5290200671399,1439887.4746110581,1640909.2643436694,910918.4619493599,161507.19889130065,77142.24579394466,56933.807814972024,27899.20855185225,29034.599263119755,1261.5781872849711,142449.36509257968,2049.110110250799,2201.416993982708,1488.8640345841593,2300.551091445769,1705.9542863240836,27.13354483092109,79.58218805639171,,,,,,,,,,,,,,,,,,,
Northwest,951.5626813920774,659.3193906163433,2203.1406947870632,395.6395021496473,1580357.7035909044,1882672.972978509,1475496.6798577504,546368.7368449612,648282.2266027457,56599.21194937846,29020.835230129753,27578.376719248718,752.597779623314,147904.30805227134,1707.4728406081617,1914.9444037332808,1221.7271911906878,1491.2638625199634,1585.5926862807053,95.0206806086752,323.94191172306483,222.2,36.8,0.6,,,,,0.8,0.0,172.4,27.4,0.0,0.0,56.4,,222.6,51.6,0.0,Indianapolis
Southeast,1310.416369806683,524.0273657873854,2154.0982049422955,403.217161585967,1578716.6611054717,1640129.8248702649,556102.6310626145,351919.5692764221,180918.07911752307,66078.52343331225,39328.07671986292,26750.44671344934,853.8485066521064,179074.47419904696,1849.7199947040933,1914.5935096381386,1333.671870086844,3120.2434172070566,323.0289431622993,146.19230799153792,86.40052578553735,200.0,44.6,0.2,,,,,0.0,0.6,71.2,11.2,0.0,1.6,152.6,,198.8,51.4,0.0,Indianapolis
Southwest,932.0490031541498,292.91923039915935,1576.3867519860933,345.98699122804106,1048793.102352316,1083024.9062147492,669450.5953048613,107805.97587180612,348122.03674472135,50121.69698354952,29004.69400300061,21117.002980548903,750.0457312768767,137471.4127485533,1400.1675694953153,1387.7440898652428,964.8459012566249,1924.3252634052108,500.1992223073489,43.13417490959963,236.71753326763718,252.8,70.0,0.6,,,,,0.0,1.4,85.0,15.6,0.0,1.2,212.8,,275.0,58.8,0.0,Indianapolis
1,125.08963426968067,267.74288918982523,539.1132766149348,93.9006083519128,403805.50250707293,458563.6715740283,62454.209756919285,293369.8492073145,28430.395224267653,18729.183037452494,4438.307915948367,14290.875121504127,266.8595051266008,36721.504892499266,469.37196659629933,387.31225721792055,274.61582254171157,533.6134374637,207.55558595009566,59.491276896922514,18.725225370091053,451.0,298.72727272727275,1.0,,,,,15.909090909090908,16.90909090909091,477.0,,0.09090909090909091,26.0,193.8181818181818,,622.7272727272727,112.45454545454545,15.545454545454545,Minneapolis
2,332.311508351489,569.5082311840785,1384.9268905454019,122.4084815013735,971425.6742400068,1073093.7967863004,231887.30279634174,552235.3220017275,146943.47549070287,27026.687736649546,11612.799355787532,15413.888380862012,529.9684301744396,68872.70797072774,1012.1376804782425,970.2357068237023,629.4319114316673,1482.3583148960731,187.43956580110154,134.92472824804338,64.72089675672805,164.9090909090909,41.09090909090909,0.18181818181818182,,,,,11.272727272727273,1.5454545454545454,78.27272727272727,,0.18181818181818182,2.727272727272727,96.72727272727273,,185.27272727272728,19.636363636363637,1.2727272727272727,Minneapolis
3,682.7137664474774,925.8688413685712,2485.3177728648184,281.6292838267058,2029845.044867829,2271960.1224392555,794553.0578197201,519696.29727352364,513648.7265243654,47579.45253850713,28878.984657182184,18700.46788132496,689.6939510910739,120115.67047375052,1788.632472098478,1813.1326952895722,1251.3613506351785,2363.58583454069,628.5310874547015,100.00273016656158,249.5679799917603,338.09090909090907,88.9090909090909,0.8181818181818182,,,,,60.18181818181818,2.6363636363636362,219.0909090909091,,0.0,6.636363636363637,95.36363636363636,,381.0,44.27272727272727,2.5454545454545454,Minneapolis
4,624.047241236909,375.1467872747231,1321.9024077146203,343.90124925254116,973619.3009682943,1226250.4637127388,606098.0250156629,479808.59824045596,210137.36270668718,23474.90277418688,12293.387520645074,11181.51525354181,694.6405411104087,67087.05682960869,1124.7481754797818,1200.2344386896532,699.2630904749857,781.7489225228403,967.3517588445579,295.6824377742575,86.2876777488474,516.0909090909091,119.0909090909091,1.8181818181818181,,,,,14.363636363636363,10.181818181818182,528.2727272727273,,0.0,12.818181818181818,61.63636363636363,,563.4545454545455,70.45454545454545,3.090909090909091,Minneapolis
5,286.91429824650425,979.2954121447178,2051.867346472183,141.8257612302595,1968089.09860505,2057871.7118677597,724490.6696389323,1674699.3887957726,213441.32551411993,49927.812175578394,22526.678733306704,27401.133442271694,371.9766690973844,103354.69577817727,1388.7897936442532,1323.8029297437167,939.9124422780833,2143.6113392977554,249.43282019674965,95.99880438997165,100.52035181568945,165.72727272727272,59.0,0.09090909090909091,,,,,12.545454545454545,3.1818181818181817,98.0909090909091,,0.0,4.545454545454546,93.81818181818181,,187.45454545454547,35.18181818181818,2.1818181818181817,Minneapolis
99,98.88963036789988,77.56871414219324,249.78140611192867,30.80049100942841,244120.4113122109,252778.458174761,175912.5632331605,272976.1941795062,109691.66847787984,6242.113783166861,3673.656096537208,2568.4576866296547,45.3354295759767,16757.172867896228,198.87265917055947,212.70466795133365,161.8662334532282,211.18493519778542,57.78022575744797,82.46339528494704,14.533697695098363,5.0,0.2,0.0,0.0,,,,0.0,1.2,2.6,0.0,0.0,0.2,1.2,,4.2,1.0,0.0,Seattle
B1,10.844116161502988,71.49993462152968,119.90594941622177,7.777017823942119,123578.24443074098,126499.57716224738,38476.0942595393,69786.74540532014,0.0,6728.870519220158,2594.447744176482,4134.422775043675,10.418431654985294,12560.494075352892,80.52304035739087,77.44014174670603,55.522907526864415,136.51578124542087,1.7948527525807088,8.970005942836098,1.8082016877520535,17.0,6.4,0.0,0.4,,,,0.0,0.2,3.8,0.8,0.0,3.2,15.8,,19.0,4.8,0.0,Seattle
B2,20.041295360107814,178.62681011745963,315.5542496600223,17.602997412120363,334655.42631132813,332581.25153817557,20596.815937823158,352661.100888646,0.0,10835.951662410213,4129.339535689899,6706.612126720313,21.386124753041685,21596.169034172148,193.13339372780112,205.40401348193825,137.92467793968154,345.0111099461011,3.9343860934974666,19.97030073661242,1.7011450998402506,9.8,7.6,0.0,0.4,,,,0.4,0.0,3.6,0.8,0.0,1.0,12.0,,14.4,3.4,0.0,Seattle
B3,21.24800481998112,191.90375848281246,348.4382448380059,17.9993753997141,370800.7282262612,378884.657441028,0.0,118699.49228672864,73750.0,9436.591394716907,3882.7770395060065,5553.8143552109,58.148161563061564,19647.122925435022,234.46690517238758,224.9208261705769,150.99347831362027,378.42028430833864,5.043928301214147,44.036771552121756,5.087037929040117,11.2,5.0,0.4,0.0,,,,0.2,0.2,2.2,0.0,0.0,2.6,11.4,,12.0,4.6,0.0,Seattle
C1,12.369354498951388,101.3193673485474,192.8276806571637,10.570123369783552,219116.41242730917,223572.26804643776,14566.52265379706,212338.40223032108,0.0,6862.710103846742,2428.0467967106706,4434.66330713607,15.077328776992381,12155.992053891434,135.70177624924904,113.47673900574607,87.5958205866209,210.05307248922344,7.5571551358884195,16.436547639988998,1.9309594856676269,11.6,2.8,0.0,0.4,,,,0.4,0.2,2.4,0.4,0.0,3.8,7.6,,11.0,3.6,0.2,Seattle
C2,18.382766886321253,125.93967480164385,225.7475559263662,13.401692403160279,378844.5083942793,392439.9152671253,52731.82920305927,229755.5771926729,0.0,6043.936470329175,3567.899705294353,2476.0367650348217,19.103376530728987,13251.179615075192,165.1051439392561,158.40676177529232,125.47316478606271,270.7657262988377,13.990841930094184,23.173421071601755,2.0440297304329342,8.8,2.0,0.0,0.0,,,,0.0,0.0,2.8,0.2,0.0,1.6,6.2,,8.8,2.0,0.0,Seattle
C3,17.01957852080951,94.94162737805976,164.6477030636633,12.682487371252394,208889.46388877762,233455.36885304708,100845.91541312465,208117.15355842543,0.0,5721.699753915836,2677.3586085877737,3044.3411453280632,24.14583077596525,12409.316637143706,119.09404213888028,113.02944328271447,81.49189870978977,168.94360856823843,29.154078711290882,17.30893865807656,4.339974955096648,11.6,3.4,0.2,0.0,,,,0.0,0.0,5.0,0.0,0.0,4.2,6.0,,10.0,5.0,0.2,Seattle
D1,18.828215294300023,57.631275390768316,123.47835311601858,7.9710430055607056,118870.67212790434,131205.39882506456,9574.512389536552,82361.10036866738,117527.54340005333,6382.9749900052875,1323.75970992328,5059.215280082009,31.108011311026512,8866.750997485511,97.49092360446583,79.89848399901707,66.98597182182328,122.21686072717318,14.283619865948003,26.76365664527455,3.8324156096474775,20.8,13.0,0.0,0.6,,,,0.2,0.0,15.4,1.2,1.0,6.4,10.2,,29.6,4.8,0.0,Seattle
D2,6.677331743044186,51.31693518517669,105.38489669294258,4.856548208869783,112245.15471868601,109248.96594184006,7.06923670885045,117044.34064462292,0.0,6055.066007564706,1335.397126085984,4719.668881478721,11.882971453245199,9055.153150483571,74.56504126045712,61.07673216771461,44.70008439807339,94.87134263457176,5.359267812504265,24.19367725908637,1.3834375563840913,38.8,11.0,0.0,2.0,,,,0.2,0.6,10.0,1.6,0.2,16.2,23.0,,33.0,9.8,9.0,Seattle
D3,10.112432539499137,77.27809461113704,152.0260669703874,10.42632905380774,157017.0192664692,165356.16957781542,17.096808068727267,149453.09104208887,0.0,5976.034020781163,1296.5478275834962,4679.486193197667,19.20976637591647,9337.162253691999,111.77277986053879,87.19753902861314,67.27938845966752,151.98648217907188,7.001222901502416,22.640416425833408,1.8812745302432017,14.0,11.6,1.2,1.2,,,,0.0,0.2,7.8,0.0,0.0,4.4,15.6,,23.2,4.2,0.6,Seattle
E1,15.685072557533513,95.63526050783194,189.2205950789692,10.32366906276126,131559.96913798008,136414.8206210664,17829.10079524542,127653.22617698772,0.0,8684.270074506916,1761.5660519590128,6922.704022547903,31.90104401064719,12547.309231688163,135.64604293630063,97.76719830679076,76.29658844444455,173.56570795874927,10.71590004091884,29.606689392340524,1.82575962647698,23.2,18.6,0.0,1.0,,,,0.2,0.0,7.2,1.2,0.2,10.8,23.2,,32.6,6.2,4.0,Seattle
E2,8.040040313742445,50.33302687443059,86.15762212469586,6.250128044367047,58715.250120905286,60586.82104390432,3894.6133178546897,49217.03213453328,0.0,4111.395003253073,728.0571877188953,3383.337815534178,24.46936700587503,6820.487638381014,63.567919777787196,54.889037100749036,34.534139677894956,82.61360382178805,7.616016434992943,15.83449682313859,3.127428695282506,73.0,23.0,0.0,0.8,,,,1.8,2.4,33.2,2.2,0.2,16.0,41.0,,75.8,15.4,5.6,Seattle
E3,22.04689408105591,71.01702494722187,129.95052832185036,9.647826304948389,91840.08611916951,93957.85744657973,15595.858795959522,94268.43282948162,14580.521732480813,4987.394468759035,836.089045604703,4151.305423154332,31.26654496290558,7459.469571769687,116.55383642686817,88.68280943647261,73.64908666655462,147.247212614528,15.030312712272599,27.997947109030896,4.316690510615412,19.0,9.6,0.0,0.2,,,,0.4,0.0,5.2,0.0,0.0,8.6,14.6,,22.8,4.4,1.6,Seattle
F1,50.45017950829752,77.0756374943897,186.4904681794163,30.94519751060157,172972.7385863449,203311.32799011839,46101.433009329296,176779.5592799338,32920.52514360928,4762.221344086971,2473.9032501238876,2288.3180939630834,63.714936669282736,12277.158751578474,142.04373733206342,145.86546338894584,94.40637403363336,147.53482533260367,58.78359604187333,45.056422435129846,7.170470153098994,11.2,3.8,0.0,0.2,,,,0.0,2.0,3.4,1.0,0.0,2.0,6.8,,11.2,4.0,0.0,Seattle
F2,47.82341280633906,58.38302159870268,155.55327914065515,22.02407977630788,131305.41558241137,151351.4902634864,57921.05216057659,158398.48577460373,84871.6767932305,4385.8652392421645,2180.7035246155315,2205.1617146266326,30.460414236400844,9992.571533804983,112.9527116634704,122.97980205118635,86.7498144791515,142.6107380424768,29.90111751302216,29.47032912969637,10.903207703979445,19.4,4.4,0.0,0.0,,,,0.4,0.0,9.8,2.2,0.6,3.4,7.4,,19.6,4.0,0.2,Seattle
F3,44.888443507180966,32.504300827593006,123.61382687887102,12.468692294146996,79332.1000040228,81164.52586452378,71199.94696719633,132350.43685233357,37390.381217378934,4331.148170897354,1843.1247081367428,2488.0234627606114,35.617900838517045,10912.623384421648,91.59239553240239,101.92182566713085,72.99071180595351,107.9820556759559,11.73962986663094,28.071319622083113,7.667108060381639,15.8,4.4,0.0,0.0,,,,0.0,1.2,4.8,2.4,0.0,3.4,8.4,,16.4,3.0,0.8,Seattle
G1,22.862134829609232,41.286732450583976,79.83005867457781,11.51019190202468,53378.44447216131,62853.92273853772,24402.596670853258,33121.24746570036,17264.126606832473,2725.9424482099384,363.2995568927783,2362.642891317161,45.171215379945465,5974.21478762237,85.02804832106484,69.13787292003317,50.8738452609834,67.02585960771646,22.979971395252267,45.15795826704653,4.007767646154273,19.4,8.0,0.0,0.0,,,,0.0,0.6,11.0,0.6,0.0,5.6,9.6,,20.8,6.6,0.0,Seattle
G2,24.159338598466856,74.49156762910441,161.16634038166984,12.79228753057741,146052.63998562342,173872.98356339865,88846.0100006071,35619.77301552013,0.0,3949.754641556377,1580.9937281195903,2368.7609134367863,38.63339108697726,9483.557196429363,113.00384723648503,110.45952114727861,73.06935680596571,128.86001457322317,38.82000003525128,23.25265694044854,8.306916899607469,19.2,6.6,0.0,0.2,,,,0.0,0.0,16.2,0.0,0.0,4.0,5.8,,17.2,8.8,0.0,Seattle
G3,20.709955337406058,39.59736477173506,83.89603218293705,5.601950591587184,74958.36985438131,110524.83511915701,38410.661517675704,44704.85704288129,0.0,2710.875634006325,998.4883734865392,1712.3872605197862,23.3380172460604,5738.209206821774,65.32907279873545,65.91605698415788,50.596542043918376,56.35191922601157,26.282053971852715,30.78447393114684,1.5604608303057543,20.8,11.6,0.2,0.4,,,,0.0,0.8,22.4,1.4,0.0,3.0,5.4,,28.2,4.8,0.0,Seattle
H2,2.066814370078421,10.752187331518504,11.739588662868119,5.38416200964766,16292.554003975505,17207.554853116744,0.0,4790.063338622501,0.0,309.51201752603055,200.88446375553968,108.62755377049086,10.215437761635075,1549.3147164748907,13.784322542725167,15.058026576591644,8.476178837174954,18.830043471145128,0.3495337705781738,6.774664207673325,0.4978278974644625,,,,,,,,,,,,,,,,,,,
H3,56.861853224017345,197.01450262411169,377.2801489896564,38.359198548704114,597523.948321528,706399.7088718151,86579.26655428462,583244.4624233084,129242.67742332983,13025.394180023224,8122.3903159721895,4903.003864051031,67.35573877974525,31776.363755858212,289.44914537477496,313.9401887940738,249.98347942357424,401.2431880310465,65.47932136282158,76.01542289664083,11.972037455004005,,,,,,,,,,,,,,,,,,,
J1,32.10893652623134,152.50917385703946,253.45311675012638,25.88991486914865,288125.18953612307,292263.0645561681,1.4358799189549065,289992.409711769,0.0,6505.084804566975,4055.984088857757,2449.100715709218,29.566353819800675,13866.244153279438,185.669069679358,180.35232686383952,146.30638671773042,301.77260464602875,5.209573075843674,29.24426586930353,6.353309812728251,20.6,3.0,0.0,0.0,,,,0.0,0.2,6.4,2.0,0.0,1.6,13.4,,19.8,3.8,0.0,Seattle
J2,34.608704647867775,168.30186057200063,311.6544851648727,16.429441596178524,387004.5327359245,394006.11973106756,59990.08980264713,268674.9003683842,0.0,10186.296292209225,6502.511130823688,3683.7851613855346,22.81125347251212,22736.180948794416,201.14774573490314,205.81537364669575,156.77486197555046,365.32552963961894,2.1348067347234037,16.317857868415818,4.516337100205667,11.4,2.4,0.0,0.0,,,,0.2,0.2,4.0,0.6,0.0,1.6,7.2,,10.2,3.6,0.0,Seattle
J3,17.204475136680028,144.4402306009923,238.86548352253044,11.592085298474643,297350.2825870075,307873.564371859,0.0,239859.70819364977,0.0,7375.74890009164,3772.1663467168946,3603.5825533747447,28.86283013517966,16037.683421883139,156.33953741739566,163.23051543809262,112.14425867828972,267.5759352411189,5.921043780636199,25.270817605945037,3.7010935858141414,16.8,2.4,0.0,0.0,,,,0.0,0.8,4.2,2.4,0.2,0.8,10.8,,15.8,3.4,0.0,Seattle
K1,10.306581196134772,20.303907503720627,35.20397717727256,5.727847173570064,44813.13689865402,48998.51068975373,9295.112181407061,43580.3368045417,4564.330959402,1726.7137095986202,358.2908520396894,1368.4228575589307,16.143950683511704,2999.8065327548006,40.31994881730109,29.355831692715295,28.18335929360022,44.57604020562948,7.812387613812674,8.904118643370087,3.450932151904626,35.6,13.6,1.0,0.4,,,,0.0,1.4,21.0,2.0,0.0,9.2,17.0,,42.2,7.0,1.4,Seattle
K2,9.693176429875331,17.721038585275586,37.04025141283844,4.517869385189703,23525.21935373531,33764.12624637751,8648.36367194457,16664.132488967378,0.0,1149.1255115585502,111.46284623412024,1037.6626653244298,18.8444005179338,1882.818727395744,42.506808792706906,26.280916532470542,31.413592046954804,35.66829681602691,7.588603340702733,17.668637333689183,2.0021575024325435,39.8,19.8,0.0,0.4,,,,0.2,3.2,22.8,1.4,1.4,10.0,21.0,,47.0,11.4,1.6,Seattle
K3,16.290518241879408,23.240395520076436,57.160034992863,6.507119325521214,30477.882856324693,39030.175373444545,20898.090167413593,23881.067182942486,2996.0207012829133,1657.7866796648257,119.31491341855914,1538.4717662462667,29.221125153510243,2874.5524150054785,58.25902077355181,43.25211676361714,40.977742865946254,37.365292375258186,14.843812527782545,38.672531767225486,1.6913474949682523,39.6,11.0,0.0,0.4,,,,0.6,3.2,24.2,0.8,0.2,5.0,17.0,,36.4,14.6,0.0,Seattle
L1,36.59040975800837,75.57460342602232,161.48686150233402,14.314911363177353,137106.50094715646,148148.34087137962,29067.925060330723,140835.25125905394,14267.498930882703,6884.957412519012,3592.6869902466383,3292.2704222723746,32.21639982822048,15274.786272317144,117.92029291607282,130.29253147239936,91.86755596920126,160.29165482228467,18.89918336199919,44.78121443388399,6.958608723387471,19.0,5.0,0.0,0.0,,,,0.0,0.6,8.0,1.0,0.0,2.2,12.2,,18.0,5.6,0.4,Seattle
L2,32.85129814853611,126.43163386841853,242.5463385297436,20.12154806884965,243012.7613452675,256097.19576654345,53063.13226474947,94051.0673852715,14446.897502906211,7732.374187651574,3858.275527880527,3874.098659771046,46.269621132197486,16452.19022108976,178.09067401943668,182.25984205571197,131.27904759666944,270.2501341669509,10.443367372246948,48.19188137395153,9.324451224890463,26.2,3.8,0.2,0.0,,,,0.4,1.0,10.8,1.8,0.0,2.4,13.8,,22.2,7.2,0.8,Seattle
L3,37.276212891759634,111.31380720390072,249.47387647532895,26.1476486230344,297763.99024868367,315025.86789072445,43141.504653924436,357907.0688386671,84510.10719113563,5936.032862274034,3250.5507083752773,2685.4821538987576,40.383228432798376,13451.794521113798,187.49181376367028,192.06479357233928,151.80521023649567,268.46342261501593,35.40543608555229,43.07975077319596,7.775233768115823,13.8,5.6,0.0,0.2,,,,0.0,0.4,2.4,0.4,0.0,1.8,14.6,,12.8,6.4,0.4,Seattle
M1,8.851278325258964,18.138984454579862,33.866547075651845,3.9108537266449312,34016.38534899085,39557.842209170485,9311.673934549906,22636.063218901436,0.0,1464.1401143723724,333.79223752270764,1130.3478768496648,14.652233133974285,2358.372101268216,32.489653820583776,26.87597396786297,24.57063523079721,41.270146165644434,5.033794009789526,6.590462722989626,2.3958731422757245,17.4,14.0,0.0,0.2,,,,1.8,0.2,12.8,1.6,0.2,4.8,10.2,,25.4,4.2,2.0,Seattle
M2,5.975199517515371,26.36750908713044,48.01025579589308,3.570931739343069,41866.32371480406,42515.27353984151,4334.430504716977,52043.2468493118,0.0,2083.1783445603724,365.0342458243576,1718.1440987360145,9.592515465386443,2876.0906143568263,39.62800123149606,31.001842551894637,25.184408643204456,51.17454858358175,3.9926636144165997,11.27815665067734,0.9586442839291802,19.8,12.8,0.0,1.2,,,,0.4,0.4,14.0,0.0,0.4,5.2,13.4,,26.2,5.8,1.8,Seattle
M3,4.196384318711161,16.35899277239418,27.150121245427194,3.307337501908265,28560.170085551537,29811.982256928914,2808.9990621852503,32725.983543460752,0.0,1200.1684752315684,223.01967032006198,977.1488049115065,8.118622328095439,1842.28511373037,25.465089044126877,19.867486243177282,16.60368106485013,31.096100971256654,3.930175288592463,7.190029357610366,1.18266818795853,24.0,13.4,0.0,1.0,,,,0.4,1.2,17.6,0.8,0.2,7.0,11.2,,30.8,6.8,0.8,Seattle
N1,49.88403943524911,129.22472018741408,248.50999330064036,22.01309414262985,309757.05343285494,312463.9470545512,19688.92818372779,298171.36525155074,0.0,8804.54593059954,4630.871288707918,4173.674641891621,45.59812855396575,18423.833216289477,193.12285421305603,199.2476531053608,171.280331685307,312.83551821035996,20.49466459761738,33.988198747973016,4.3396271697598285,15.6,1.4,0.0,0.0,,,,0.0,0.4,3.2,1.2,0.0,3.0,9.2,,12.2,4.6,0.2,Seattle
N2,37.421848254640246,60.57213418684598,137.99673912310442,8.068581616217772,125956.03739149791,127672.38679131382,48725.90544049433,176281.9307568793,26462.45796510773,4785.952815298546,2307.488903504882,2478.4639117936645,32.25584852542562,10203.636614664756,106.06784734470415,104.04511842995556,81.390674025727,150.2802300852955,14.532209479004681,21.816859760355218,5.748356456014323,31.6,7.4,0.2,0.4,,,,0.2,1.4,10.6,2.0,0.8,2.8,21.8,,30.2,9.4,0.0,Seattle
N3,25.788405345009057,97.38910331390154,189.84674748984057,17.45176665923556,178605.46367388882,194841.71100212607,43140.791615692804,29002.478381016226,8497.217276612753,6246.139730193512,2843.8388052818786,3402.300924911633,35.31874167271522,13368.314353814463,135.05522974917247,129.82306598069135,90.3159080197398,185.57695220502328,8.568389509669974,42.9982143690176,7.431580903741531,48.0,7.2,0.0,0.2,,,,0.6,0.8,11.8,3.0,0.4,8.4,30.4,,42.0,12.6,0.8,Seattle
O1,4.202823468627917,7.865283919860816,18.762604770660342,2.2515125724792413,21151.609710898985,29055.31944533011,5355.898107413619,16082.104002704724,0.0,332.323255697936,163.91011527648877,168.41314042144725,5.643791515014631,850.1711473681614,19.302967788055362,10.717199845001188,11.437683868194545,15.550446833923292,3.0920772662048246,6.2141747000427054,1.470988214019771,21.6,5.0,0.2,0.2,,,,1.0,1.2,6.8,1.6,0.6,5.0,10.8,,23.0,4.0,0.0,Seattle
