,Percent; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent; Estimate; Population 25 years and over - Bachelor's degree,Employment/Population Ratio; Estimate; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,Median income (dollars); Estimate; Households,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Some other race,Occupied housing units; Estimate; Occupied housing units,Owner-occupied housing units; Estimate; Occupied housing units,Renter-occupied housing units; Estimate; Occupied housing units,Percent below poverty level; Estimate; Population for whom poverty status is determined,Estimate; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population - Male,Percent; SEX AND AGE - Total population - Female,Estimate; SEX AND AGE - Median age (years),Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - Asian,Percent; RACE - One race - Some other race,UOF_Use of Physical Force,UOF_Use of Non-Lethal Weapon,UOF_Use of Lethal Weapon,UOF_Fatal Use of Weapon,Crime_Violent,Crime_Non-Violent,Crime_Non-Criminal,Race_Native American,Race_Asian,Race_Black,Race_Latinx,Race_Pacific Islander,Race_Not Listed,Race_White,Race_Bi-Racial,Gender_Male,Gender_Female,Gender_Not Listed,City
O2,8.295702140948638,16.95312450510937,39.35584764456114,3.7776085904449515,36976.81875834519,48984.34183529545,7496.237710169142,34909.04394796301,0.0013344424526397919,577.3126427806338,282.3287183383766,294.9839244422573,9.901956252133997,1396.205766555267,36.435121506621755,22.483324589763193,22.528438837116862,35.07788996934756,4.7268350822228715,9.375367620620707,2.9197635821225587,10.75,1.75,0.0,0.0,,,,0.0,0.75,3.0,0.5,0.0,0.75,7.5,,10.75,1.75,0.0,Seattle
O3,28.274495921199964,44.73084118349783,110.47473636738933,7.469395014011662,80807.34208168372,80939.02758895801,59125.50643644565,107905.40079268653,732.4249169350493,1601.307045703575,947.5586857833026,653.7483599202725,23.533497723908464,4486.285617396872,83.8398257015527,70.91287340612892,59.17636188985095,80.98420648446053,14.267248664816737,39.981681135744466,6.1452203132192995,12.2,4.0,0.0,0.0,,,,0.0,0.6,5.0,1.0,0.0,3.0,6.6,,14.8,1.2,0.2,Seattle
Q1,32.7917270895425,155.80729859464998,262.9635832784846,18.000944885853002,365942.33000308805,367948.5864161525,73942.97772824434,380793.0457958771,1924.5129207984144,10328.378660564102,6191.968622851318,4136.4100377127825,21.998991118374413,22430.69649437039,180.47034758606355,200.495562522827,151.35128287384606,313.92009657899723,17.373695478073543,25.072508148262166,2.2392953294332183,8.6,1.4,0.0,0.0,,,,0.0,0.0,1.6,0.2,0.0,0.8,7.4,,7.2,2.6,0.2,Seattle
Q2,23.67334377794613,209.22073615873245,348.8758998450004,17.772803450298895,438077.1991724636,459975.4753944726,7890.087869404011,310637.84114197735,26.558300180319215,12554.633857096907,5856.311972352634,6698.321884744272,37.261743631124695,27000.71398894235,235.71102591415362,241.0422426755154,163.55328007966835,399.98821070920826,8.885219055308557,35.37955295149808,4.0598171579305555,11.8,4.6,0.2,0.0,,,,0.6,0.2,7.8,0.0,0.0,1.6,6.4,,13.2,2.6,0.8,Seattle
Q3,18.58981193532884,83.67141586328135,165.32770578875883,6.758266377258183,151886.76460397482,148766.56689612995,33048.516646763484,186343.73520919622,42728.38537898565,8206.607383515453,1901.903212233482,6304.70417128197,17.726299777741524,11829.173345812726,107.97825531856947,101.19187134644817,69.3044974964047,157.68350564563517,7.610674598354226,24.46698678225756,5.010079833124236,13.4,1.6,0.6,0.0,,,,0.2,0.0,4.0,0.8,0.0,1.0,9.6,,13.2,2.2,0.2,Seattle
R1,54.38244379297866,90.67235655490545,229.52235567988595,18.926559172421573,206549.06404462416,273296.6822124485,203049.1868979465,146070.58793689896,0.0,6127.930296215001,3185.279650410296,2942.650645804705,47.682993143900894,16461.23782145623,173.13362943076393,167.68521060456396,128.41886465218104,124.22875307181133,45.592630667783105,131.83592480631862,10.45689716154886,25.6,6.6,0.0,0.6,,,,1.4,3.0,10.4,2.6,0.0,8.4,7.0,,27.2,5.4,0.2,Seattle
R2,11.85439632517766,31.044655505324876,68.11930225624226,8.121219781055476,69803.23579871033,109860.68341810796,40320.98397429539,36803.24590205808,0.0,2537.3354485173795,1532.4423340904084,1004.8931144269714,15.266631201582273,6153.037220897596,50.40898108262658,55.88661854792293,43.30830686306537,51.43966768672655,26.107107858257024,20.42713181792258,1.3599705784799445,37.0,10.6,0.0,0.4,,,,1.0,5.0,24.2,1.2,0.6,8.0,8.0,,39.0,9.0,0.0,Seattle
R3,43.139969498673246,71.93972274658628,168.49639416331146,21.20841634186675,171606.8763864311,218350.1207258756,86133.02357722018,157140.70038502125,11176.827028128275,5798.325792086369,3374.9863323083,2423.3394597780684,38.76876474735862,14349.345899877677,122.89488152835182,133.1375983555171,100.82158611628414,131.39975997669674,48.39599150008036,52.92110656899123,4.89529865061417,19.4,4.6,0.2,0.0,,,,0.0,0.8,14.6,1.0,0.6,3.6,3.6,,20.2,4.0,0.0,Seattle
S1,69.00686116523389,57.98525016521799,176.34585852409276,31.641169670602423,150957.44835935626,190978.7842417342,120517.85549787802,172904.428293623,0.0,4672.349420506822,2683.6447129601956,1988.7047075466257,92.97475613710341,15192.727458551135,155.47979297043116,150.80509309486575,115.91722946412033,46.14869741729175,74.1289064333194,162.00470957736624,5.366448013514567,38.2,9.8,0.2,0.4,,,,1.0,6.2,22.0,1.0,0.2,7.2,11.0,,38.4,10.2,0.0,Seattle
S2,37.93766741398511,30.83075720278296,94.7672369068653,16.210361738903696,81820.33671652262,107830.05888792,46270.42299577118,93156.98876130283,32367.099322989183,3102.2079776384167,1474.175162258647,1628.0328153797698,34.86050535178453,9026.52199471743,76.2512954417361,85.13522882311024,58.53956936745595,47.6297012989432,35.87592214420102,62.307520972414615,3.220695697819309,28.6,6.8,3.0,0.2,,,,0.2,2.4,21.6,3.2,0.4,7.4,3.4,,29.2,9.2,0.2,Seattle
S3,33.632912183325395,27.059357415213707,83.43656502466281,11.768838698527476,83550.70951990514,103159.93344821419,71566.99480671746,86185.85642973508,29573.618714289332,3357.6032193529163,2095.611175573785,1261.992043779131,30.290063288037594,9774.790930946867,68.21747434280924,68.22727471892634,50.051721194185035,35.46776867471086,33.81375220955511,48.45300503246852,3.801124782818766,29.2,4.2,0.0,0.0,,,,0.0,2.0,18.4,2.0,0.0,6.0,5.0,,26.2,7.2,0.0,Seattle
U1,40.028999908955086,189.63085866149441,318.63510305429935,35.47816308677584,313342.6044581248,336990.798830577,68071.66100154068,190496.4245470781,11815.44128063366,9077.632489904638,3449.8853434359125,5627.747146468724,131.5090812332948,22674.319064243027,256.91365485747536,236.2983400424042,147.5074008954798,376.4295024372603,10.200045322532196,68.92562481407361,7.634809936741225,20.4,4.6,0.6,0.8,,,,0.4,0.2,8.6,0.2,0.0,5.4,11.6,,23.0,3.0,0.4,Seattle
U2,14.861169578703215,55.174629118417975,72.78660573455663,32.233010672845374,25929.978472182444,32013.496681152574,1.1581759291254823,3768.8847364295616,10700.076384264825,3602.2684458972685,297.5263236929691,3304.7421222043004,93.43533408120558,11266.968813721202,80.80317243001649,89.83652018679777,36.90702936007582,92.4426341608038,2.7677787259316173,52.40541003839621,5.139088338077904,23.6,7.6,0.2,1.2,,,,0.4,0.8,7.0,1.2,0.0,4.6,18.6,,24.2,7.0,1.4,Seattle
U3,40.05973044415781,255.18876676426686,473.8356413011615,48.3292075053631,700211.7766495314,715299.8777230765,0.0,843216.4130578365,27647.850967330032,11861.235092455006,8548.092758809213,3313.142333645792,73.60115081201744,31389.638340872658,349.16253026955354,375.056224637076,275.3271967503906,576.4841304567183,11.597744285734333,85.30757453926236,7.193908349812705,15.4,4.2,4.4,0.0,,,,0.0,1.2,1.8,1.0,0.0,1.6,18.4,,19.8,3.8,0.4,Seattle
W1,28.94112947669946,129.0022880396558,224.45277012804462,13.844743023864769,258975.1219467564,271573.15282414015,49418.64005556131,179072.9397710659,0.0,9044.07968737637,5368.9458996818385,3675.1337876945313,20.216726396976462,18291.34759643792,153.89421179335127,170.23274870912888,137.32197391845222,268.2019742381714,10.564348084100219,23.339997952455473,5.039922229058753,13.6,2.2,0.0,0.0,,,,0.2,0.4,5.6,0.6,0.0,1.4,7.6,,10.6,5.2,0.0,Seattle
W2,42.3024443646894,115.29393844231254,224.14835491952812,14.2494410827897,252006.6826012255,272111.5096854923,37509.254415586416,222481.5370997223,23082.502315021793,9862.793235782854,5435.465842046424,4427.327393736431,34.74859931757098,20683.013093460613,157.59540538913268,174.2290155440823,132.6867199913961,258.9127253017805,22.4845782529258,23.400805359437506,5.234892544661271,5.6,1.4,0.0,0.0,,,,0.8,0.2,1.8,0.0,0.0,0.8,3.4,,4.8,2.2,0.0,Seattle
W3,67.68076522964039,152.5559593787365,312.29644227682945,16.655966622131924,407626.5978390295,429526.3648781856,6066.881131602067,310112.7052399053,112044.04448217987,9562.957014206217,6915.683463310119,2647.2735508960977,31.986362571012833,21568.290062456646,214.87013996356998,231.267235496042,184.47388556290917,351.57880923101897,22.53976857290082,24.45631139641625,9.01155853617487,12.8,2.0,0.0,0.0,,,,0.0,0.8,2.8,0.8,0.6,1.2,8.6,,11.4,3.4,0.0,Seattle
1,277.95461742376955,381.4004793025368,790.5566745690538,155.837124655884,580106.0899311918,932599.4811309343,340489.09352457686,468597.7067780732,239234.0050804409,27067.914237527715,3028.691023290663,24039.223214237052,644.6114225449727,58591.12578876926,973.6231753714217,694.8453634939906,671.0391040930259,566.7230661771366,230.49098759425877,573.746200665865,216.30935082859475,,,,,1478.0,11233.0,21.0,6.0,39.0,7195.0,3988.0,1.0,552.0,1841.0,,10686.0,2936.0,,Los Angeles
10,923.809881790783,1006.4692898353848,2701.4642959037387,375.02032617217725,3128521.16401485,3219281.2335819146,810914.7341875184,2826341.598564388,1707147.9693618845,69008.48419886852,36397.39850771653,32611.085691152002,723.9222829180144,201279.42180302728,2193.538702867097,2323.4577372116473,1768.0886452029686,3111.841509752354,167.50434557634546,418.314416064264,636.6409184013427,,,,,556.0,2813.0,7.0,1.0,20.0,411.0,1838.0,1.0,324.0,1025.0,,2820.0,800.0,,Los Angeles
11,1123.4223787077653,1582.0824735748301,3998.4914615828284,625.2326402351686,3760933.675117962,3902314.5259760576,772019.5961340474,4049575.1248140666,2541919.784572063,83467.15482464983,32717.010862845902,50750.14396180396,1129.2673143795764,229801.2747654825,3229.283881984263,3279.824703172924,2429.852924948844,3530.731328489781,132.93900479130858,1078.7327211473562,1458.6737940316893,,,,,796.0,3582.0,9.0,2.0,31.0,387.0,3288.0,3.0,260.0,804.0,,3997.0,778.0,,Los Angeles
12,1165.2661820169835,291.806772799886,2193.089991343987,588.6547693497224,1386327.9324770393,1687123.8008773217,1155348.4755977376,16468.1813453104,1349779.527500999,53685.72339155238,21328.938834800698,32356.784556751685,1378.2003141583525,177869.07448134557,2036.444471474085,2258.280523391995,1410.7171883366177,998.245380760172,1695.2742847241823,28.266638426441528,1474.0657778228967,,,,,1842.0,4869.0,64.0,0.0,9.0,4415.0,2331.0,2.0,86.0,149.0,,5289.0,1703.0,,Los Angeles
13,780.603386214906,171.60268256163494,2005.8505061820745,381.7364192023555,1100973.889266322,1305331.8424459146,609572.8955321171,239004.44036685597,1051143.544806389,34693.50515623952,8792.4820464037,25901.023109835816,1514.6577350160792,149369.02554712555,1832.0315549840666,1796.3079064555668,1034.1108594358968,1211.1451416663097,382.2229956201257,56.5981072072246,1892.7314060482904,,,,,1148.0,4892.0,11.0,0.0,7.0,2438.0,3462.0,0.0,97.0,222.0,,5200.0,1026.0,,Los Angeles
14,630.9090342609285,1828.467846113024,3596.753229658259,417.0700961982863,4005375.0561700175,4136385.3328223643,1873442.1093051436,3532423.034424679,1288176.57023578,92959.91668978464,33536.111842044455,59423.80484774018,693.5352825757898,210143.34992068913,2680.4979656851256,2686.551618793837,1975.605836015256,3516.0250750494774,409.4286390956484,724.4677987046205,335.7001392293052,,,,,907.0,6574.0,6.0,4.0,94.0,2435.0,3221.0,6.0,756.0,4965.0,,9346.0,2135.0,,Los Angeles
15,1010.530628664112,1321.1203227533626,3348.0086065949567,587.1131224419184,2906488.016540552,2948429.343097006,1437223.482037518,2286374.169439488,1613062.4489575517,81884.45152351153,26366.397803548774,55518.05371996276,998.5383391627286,207322.99787370223,2648.4156339760657,2610.1955677768433,1902.0414466413763,3529.8757015682877,314.1637895781433,365.4996776919812,808.7322328538994,,,,,817.0,4880.0,20.0,0.0,35.0,843.0,3069.0,1.0,452.0,1980.0,,4999.0,1381.0,,Los Angeles
16,1258.435173868525,566.1623594128488,2796.655071068928,564.2909834129149,2661822.728919703,2583157.638718715,717304.2695174114,1847556.5913837277,2373283.5491230497,51702.142183754135,29243.716997890202,22458.425185863925,952.9216934648235,191375.53105318962,2439.1651321386994,2482.747258587098,1735.9954204252676,3505.4640480330795,159.6836530746737,303.30938708645186,802.963906416325,,,,,673.0,3516.0,28.0,1.0,11.0,315.0,3101.0,2.0,209.0,716.0,,3620.0,735.0,,Los Angeles
17,1057.3047973095486,1397.8716395453177,3066.4754217062655,450.80163303208815,4243347.913382483,4160977.9861537856,1189993.1384036543,4861044.154570744,2841831.9355094056,74402.60101097019,47526.47194409684,26876.129066873345,565.4205247256807,229131.52799370253,2601.0466329191895,2645.4835498117595,2116.436436423219,3075.53778489173,248.6158657729379,970.1463939547023,681.9732654427038,,,,,536.0,2717.0,15.0,0.0,38.0,358.0,1713.0,1.0,333.0,1070.0,,2568.0,945.0,,Los Angeles
18,854.2649101305293,170.4096841049578,1544.3921601358873,488.4488099093462,1025671.2793503965,1274710.729194609,796623.773403202,185681.76763132063,1084549.87389738,36390.62130737538,13151.126937987945,23239.49436938743,1155.896168670109,146462.67948866464,1501.4055968275852,1658.201982479722,889.2160368613315,1044.0513295370097,901.6568511977814,59.963097133272086,1080.6535738341536,,,,,1186.0,3731.0,41.0,2.0,8.0,3415.0,1520.0,1.0,44.0,95.0,,3560.0,1525.0,,Los Angeles
19,1495.177008793134,690.1304429182499,3374.2109211136944,649.4462159612555,2971769.4030426946,2761435.8870432586,856209.043106697,3179619.452752075,3030601.633233799,63303.72313597587,32409.541099936818,30894.182036039067,1341.9866368847722,250620.47965532052,2879.7185816463393,2923.478634261606,1886.343025207391,3349.234936121881,138.0177920377497,578.4506750954863,1561.5078169369494,,,,,1092.0,4680.0,26.0,1.0,23.0,593.0,4600.0,0.0,202.0,813.0,,4811.0,1421.0,,Los Angeles
2,950.4608979584605,788.5955550951142,2889.1253125780936,581.4256344370552,1604666.7917587627,1639772.0004547134,653764.6368783399,1551838.1903561447,1362321.8006925504,57610.931573473776,4551.73540984618,53059.19616362758,1612.578740740841,168206.11816139717,2490.165190128862,2296.8880360250296,1592.642244900913,1801.296870400209,186.45494292299315,824.3412312449034,1810.6630863563657,,,,,1247.0,4343.0,34.0,0.0,24.0,988.0,4525.0,0.0,279.0,614.0,,5423.0,1007.0,,Los Angeles
20,1214.2685523210507,1135.5215835481993,3466.3841028313004,609.0227077740302,1925801.2416047973,2082337.846064886,1143044.0091220522,2112636.912172031,1695304.3511859605,70665.42855579717,6555.55803602705,64109.870519770135,1455.2934284027342,193135.63469571536,2756.3791064045167,2733.3622436703636,1918.7132260524181,1376.2638309728331,280.9078086633016,1691.0714458012203,1956.4848406480303,,,,,1043.0,2891.0,26.0,1.0,142.0,881.0,2390.0,0.0,418.0,327.0,,3312.0,847.0,,Los Angeles
21,965.572888920919,1134.788495954869,2855.883774202752,374.3161905922163,3601629.8415716034,3509343.6292233486,1673472.7526398704,3892443.012429212,1455826.6039916212,69975.8708141071,38516.70656924322,31459.164244863852,594.8201519447734,206144.7394813797,2351.776573713229,2339.60150434815,1849.959095399347,2902.4842007569982,192.87768505129316,617.7387140843342,734.6586450785624,,,,,712.0,2921.0,6.0,0.0,70.0,509.0,2081.0,0.0,340.0,1242.0,,3236.0,1006.0,,Los Angeles
3,1078.9572272953453,610.1931467940775,2462.926502725148,647.7200044917547,1529752.0435167428,1767011.0128585852,1282735.6799560278,660837.035661164,1391658.658456618,62625.7374583048,17288.24849542554,45337.488962879266,1599.8295536038725,191025.5261711544,2245.9206205124456,2530.454113638373,1632.4827499434682,1100.0587165492702,1605.7784443730459,362.2380806204138,1520.8339861473899,,,,,1550.0,4996.0,35.0,0.0,25.0,4323.0,2054.0,0.0,137.0,278.0,,5226.0,1591.0,,Los Angeles
4,1038.9282000462824,422.6950371558126,2590.2559870381506,611.513544416992,1837212.577238726,1847570.5190147515,430340.5434820115,1306127.5836164413,1703370.5543001704,49169.416658271766,16289.316419692379,32880.10023857939,1441.204281063969,178299.97405406853,2403.4713550665406,2433.665687453912,1579.8083203790502,2518.9148533490206,85.65295959789749,440.02404214090444,1652.607701553898,,,,,901.0,2882.0,14.0,0.0,5.0,177.0,3601.0,0.0,92.0,206.0,,3448.0,633.0,,Los Angeles
5,1084.3874352830244,609.1398050338258,2613.463882546387,503.60573878264313,2389206.671232179,2466758.0754264896,991656.7365506508,1349652.7135124402,1810162.4324242338,58207.68459250212,24207.469686556477,34000.21490594564,972.8310442006133,183443.41674998234,2194.608081004777,2277.2960234247216,1543.2768803025033,2699.7042551914296,249.1959513739644,371.2247786747422,741.7309297995625,,,,,881.0,3210.0,7.0,0.0,34.0,621.0,2688.0,1.0,132.0,846.0,,3326.0,996.0,,Los Angeles
6,577.7312528147439,1167.071745309461,2485.806561684552,404.3174427408454,1975518.8737435003,2040533.4914952582,573735.3305371564,1664994.031800651,1041756.010303903,63728.253093286556,12044.605060612626,51683.648032673926,845.5534609340507,132378.83674396784,1995.858508671789,1757.6660341686056,1373.8447255377237,2313.0853393161847,180.62713509781761,286.11555957664353,800.03433485528,,,,,1213.0,8650.0,17.0,2.0,228.0,3186.0,4721.0,0.0,938.0,3498.0,,9953.0,2620.0,,Los Angeles
7,622.3967560720367,1372.0090105471168,2854.724469216281,381.40629752174664,2853399.5476476047,3056669.692829906,1819498.6819820974,2729820.2613319266,1094132.6719988594,67263.76293860257,19059.857386433334,48203.90555216923,664.4133694216196,155196.73177013564,2073.2822546902335,2242.6351030305163,1597.9811461994561,2400.958599631714,593.6252141857505,546.7900624218714,549.3623734826504,,,,,655.0,2177.0,17.0,0.0,21.0,1117.0,1029.0,0.0,255.0,569.0,,2414.0,577.0,,Los Angeles
8,484.50793838608126,2158.88842093184,3690.3774865474347,439.724419219902,6251242.248517252,6357487.8418972995,882947.0832521243,3926464.098046947,509213.5687087872,98286.72801436955,43724.291789601884,54562.43622476766,807.7146878273411,238152.07636609295,2923.2393095418806,3190.0752163908323,2424.9154024333925,4517.024534576369,189.44651297306874,929.2978012844379,185.29633652504288,,,,,455.0,1716.0,4.0,0.0,21.0,554.0,571.0,0.0,234.0,962.0,,1903.0,439.0,,Los Angeles
9,831.7099775182872,1130.452814008023,2934.0861433250598,470.2772762936359,2696951.4178412925,2847804.077883295,1311185.178710723,2653950.489240135,1315724.6669527837,70837.96469560255,24439.345486390524,46398.61920921204,812.4118107031042,185738.64561088197,2261.2532203902024,2275.3134934918403,1650.0690767393446,2855.1888165256087,224.81658210902833,323.3081933176863,946.394635927555,,,,,1019.0,5165.0,11.0,0.0,16.0,1302.0,3004.0,4.0,634.0,1656.0,,4686.0,1930.0,,Los Angeles
1,342.09001312455706,492.45505101256384,1206.1010148347466,227.49429827112243,971684.1328887977,1400581.679051138,572991.3134885643,679211.9769619982,240989.16523184805,20136.61438730919,4220.2849972465,15916.32939006269,548.5323680460408,44265.25972606244,971.8405032801006,1004.8471068481361,736.8484676311792,681.6003149774524,624.2876438965084,456.2173717228086,84.37242347769617,,,,,104.33333333333333,591.6666666666666,10.0,,,,,,,,,,,,Oakland
2,276.04799601203797,939.8661992810094,1932.833647418421,209.7527051706596,2539982.09255739,2811274.4848124688,1008988.2929339511,1972932.9124840288,260953.08529924424,47172.93832671882,19403.629056943082,27769.309269775735,296.4056510124402,99163.35093110376,1368.7732108643381,1485.3370641403108,1149.5579909939545,1711.5950211057275,487.3889798171495,355.43559836128196,76.99733743217905,,,,,42.4,306.2,4.0,,,,,,,,,,,,Oakland
3,407.80132805147866,610.0607488835931,1632.3751246347751,288.4593659994725,1750626.7570598787,2076453.7081029098,1305962.3281371652,1584253.8671059296,543526.866675173,38599.35686501664,14776.026582692188,23823.330282324452,509.968231420943,101479.50928862124,1333.73774897711,1392.4911924119087,1027.3895931496183,1077.2334879838934,488.812749629049,736.249932979944,207.5358925088449,,,,,88.5,405.5,7.25,,,,,,,,,,,,Oakland
4,318.41745025931766,242.3983562153813,925.8003462556305,191.82844069244666,869561.5482166492,962118.8705916244,629235.0190296415,892852.5818313006,745971.4155015674,24420.478164716355,11334.679307003837,13085.798857712522,371.7058531859275,75127.00545541554,792.7452460193132,845.3468438482147,569.7546101332923,577.9378216864234,414.0723586163582,244.59198786005746,275.54896648829407,,,,,120.0,371.0,26.0,,,,,,,,,,,,Oakland
5,514.2479729728927,237.94186236853798,1143.6370913115554,283.48034366897747,1051963.5801283498,1198506.9444922442,930307.0554462428,776408.2328907883,894780.825226534,27505.86815925729,13525.025553343909,13980.842605913384,491.786601833927,87613.35510263323,996.4530553026083,1107.6330464893633,709.2097767629251,551.6814851401086,865.9100923353448,94.68765639607449,421.8017709353709,,,,,80.33333333333333,268.6666666666667,13.833333333333334,,,,,,,,,,,,Oakland
BAYVIEW,364.98559396524985,406.59101138326366,1121.0347329792899,193.42196080919618,1361929.0257456396,1615234.8870585063,591432.1819379842,1385980.6459234299,561927.2880977697,20986.1536181089,11013.683978694447,9972.469639414454,320.61034553621863,65200.58521948763,897.1022058624301,889.6107998854364,664.0309995425911,540.8395854407734,329.8336250588337,607.0302343994015,177.56525836419976,,,,,1462.25,6696.0,1396.75,,,,,,,,,,,,San Francisco
CENTRAL,227.25572930842972,583.2362963667674,1121.6552742979611,113.98226702065857,1084785.7072078888,1507871.3518275486,117783.44468490215,845261.6361007107,133515.26995961723,36632.43228021511,5677.762090696031,30954.670189519078,349.8535151671467,67633.19142365614,940.5495086273119,874.9603066344254,747.5914171351244,814.0661500508843,39.720765173895025,823.2022437475533,59.85419533159674,,,,,1202.5,7758.25,1688.0,,,,,,,,,,,,San Francisco
INGLESIDE,552.9481687904425,744.906170062433,1854.5962927944438,273.96174921210786,2431123.8022674955,2579360.9633837086,618545.1682083446,2177634.194065552,1359116.5882974481,45787.86083185576,27922.730133550267,17865.13069830549,336.4918851590317,139512.5342447296,1478.8499459004581,1493.9438626696963,1211.4384289135457,1153.906572112852,178.16734572659587,1116.9145805478463,340.41538814008425,,,,,1321.25,6024.25,1335.75,,,,,,,,,,,,San Francisco
MISSION,212.0349965855879,698.185488701473,1454.8621441568487,119.92909953715237,2022330.1374498669,2185735.697026635,311987.95067776553,1820537.5975881652,400784.5168366949,35963.53900159788,11659.067597102685,24304.47140449519,242.81187130174638,82060.1549458001,1125.3529625816936,896.7345915416469,762.2541221675025,1351.7641312261758,52.74223440436534,243.63112539665553,251.49096025221334,,,,,1930.0,9071.25,2223.75,,,,,,,,,,,,San Francisco
NORTHERN,204.64620027501795,1111.4254410656938,1842.2649149453464,130.62202164428052,2356452.195166521,2547440.7706072954,196363.64149063991,2221622.8402447854,324340.07147053065,52299.08751548175,10809.225914117333,41489.86160136442,294.00494070240916,95435.6919156901,1317.32884967709,1281.4472230804204,964.534799313432,1725.702129796459,192.6480109417341,498.33837638637243,72.32491483934001,,,,,1306.25,8696.0,1635.25,,,,,,,,,,,,San Francisco
PARK,99.61087384987306,584.5614833171692,1028.562252287633,80.49956190832455,1502667.60023235,1543991.3790040785,223793.01402869396,1452804.1511407357,124497.70498305348,27922.23931989283,9210.020893485633,18712.21842640719,124.32220604659801,62588.63701177384,776.9402083845716,655.0096397374082,539.0633562070668,1029.7506326999844,76.63643783766925,200.71997724775258,42.86513813850545,,,,,513.75,4054.25,1424.0,,,,,,,,,,,,San Francisco
RICHMOND,190.84148936621384,724.0492683917408,1289.329368174729,103.39869226942704,1742265.821799896,1876592.183890567,364876.8669136256,1438646.783840885,95357.0,35793.32126542381,12693.860465800833,23099.46079962298,206.15588703377105,84356.75876735788,965.8092514874501,1013.8864595070249,796.567760058569,1087.5570111972208,43.086808921346496,694.4752504124303,37.43673346916362,,,,,447.75,3885.0,1040.5,,,,,,,,,,,,San Francisco
SOUTHERN,93.20877812332658,220.09385430574096,409.0343346949546,51.343867741129976,563704.8933414606,750982.8584103852,137709.10714926897,532292.9064882449,137472.14097385024,19359.839412827925,5382.327687163068,13977.511725664863,171.79178556455165,38079.49483254425,384.17513384934733,313.1496524127687,289.0837600846855,311.6344889123184,64.2640195807571,226.18334872444305,51.76593698181475,,,,,2034.5,13327.5,2993.75,,,,,,,,,,,,San Francisco
TARAVAL,410.0067607527026,947.0353581749984,1796.909796843527,240.67385604587642,2680567.0542633208,2838233.7650338383,593091.4034670858,2605957.850881049,667347.7856893969,54562.02544967052,30771.500388231296,23790.525061439224,401.4844788126302,159717.52197485973,1457.177837843354,1571.806001875715,1234.0484007364512,1167.622002586529,122.46924629115641,1455.694313512202,117.35859604055098,,,,,780.25,5005.25,1357.25,,,,,,,,,,,,San Francisco
TENDERLOIN,113.93937395076425,125.15529036412691,301.78884903146843,49.62154149140606,141182.07428272328,161660.86411921488,47597.36919532992,156045.3661478145,111203.75277790321,14317.531468503767,561.3983145327107,13756.133153971055,207.51472292461455,24701.466255513573,374.1046280136647,239.35744248246596,263.1957968680236,249.96919056211036,61.80805397022659,205.403225714536,64.35850649206549,,,,,1238.25,5508.0,1201.25,,,,,,,,,,,,San Francisco
